Food_name,Calories,Protein,Carbohydrates,Fats,Meal_type,is_vegan,is_vegetarian
Tofu omelet with spinach,547.0,35.0,55.0,9.0,Breakfast,True,True
Greek yogurt with protein powder and fruit,320.0,21.0,34.0,14.0,Breakfast,True,True
Tofu breakfast burrito with whole-wheat tortilla,320.0,14.6,25.0,12.0,Breakfast,True,True
Protein pancakes with fruit and syrup,551.0,41.0,67.0,29.0,Breakfast,True,True
Scrambled tofu with spinach and tomato,160.0,16.0,16.0,12.0,Breakfast,True,True
Tofu scramble with vegetables and whole wheat toast,200.0,34.0,50.0,16.0,Breakfast,True,True
Vegan overnight oats with berries,369.0,28.0,55.0,17.0,Breakfast,True,True
Scrambled eggs with spinach and whole wheat toast,282.0,18.6,19.0,11.0,Breakfast,False,True
Vegan overnight oats with chia seeds and berries,398.0,14.0,28.0,2.0,Breakfast,True,True
Protein smoothie with fruit and spinach,256.0,29.0,31.0,16.0,Breakfast,True,True
Yogurt parfait with granola and fruit,298.0,19.0,24.0,34.0,Breakfast,True,True
1 cup oatmeal with berries and nuts,210.0,15.0,40.0,1.7,Breakfast,True,True
Tofu scramble with whole-wheat toast and vegetables,346.0,24.2,54.0,15.0,Breakfast,True,True
3 eggs with whole-wheat toast and avocado,334.0,15.5,46.0,20.0,Breakfast,False,True
Yogurt with berries and granola,279.0,10.0,69.0,5.2,Breakfast,False,True
Tofu scramble with avocado and whole-wheat toast,220.0,15.0,24.0,15.0,Breakfast,True,True
Oatmeal with plant-based milk and fruit,486.0,33.0,23.0,7.0,Breakfast,True,True
Yogurt with granola and fruit,353.0,55.0,45.0,5.0,Breakfast,True,True
Protein pancakes with fruit,341.0,160.0,300.0,13.0,Breakfast,True,True
Tofu scramble with whole-wheat toast and avocado,183.0,22.9,49.0,7.0,Breakfast,True,True
Quinoa porridge with berries and nuts,362.0,16.0,36.0,12.0,Breakfast,True,True
Overnight oats with berries and nuts,418.0,17.0,53.0,26.0,Breakfast,True,True
Tofu scramble with whole wheat toast,290.0,31.0,39.0,27.0,Breakfast,True,True
Vegan breakfast burrito with tofu and vegetables,526.0,25.4,72.0,14.0,Breakfast,True,True
Tofu scramble with avocado and whole wheat toast,316.0,14.0,21.0,13.0,Breakfast,True,True
Breakfast burrito with eggs and vegetables,255.0,52.0,38.0,8.0,Breakfast,True,True
Oatmeal with protein powder,640.0,52.0,58.0,19.0,Breakfast,True,True
Overnight oats with berries and chia seeds,240.0,5.0,54.0,5.0,Breakfast,False,False
Smoothie with fruit and protein powder,255.0,53.0,55.0,29.0,Breakfast,True,True
Tofu scramble with whole wheat toast and fruit,175.0,19.0,31.0,7.0,Breakfast,True,True
Tofu and vegetable scramble with whole-wheat toast,441.0,29.0,45.0,35.0,Breakfast,True,True
Tofu and vegetable scramble with wholegrain toast,383.0,27.0,39.0,34.0,Breakfast,True,True
Oatmeal with berries and flax seeds,333.0,33.0,44.0,16.0,Breakfast,True,True
Eggs with wholegrain toast and avocado,394.0,19.0,91.0,61.0,Breakfast,False,True
Breakfast burrito with beans and vegetables,117.0,24.0,45.0,2.0,Breakfast,True,True
Oatmeal with protein powder and banana,294.0,26.0,61.0,20.0,Breakfast,True,True
Tofu and vegetable scramble with avocado toast,264.0,30.0,22.0,28.0,Breakfast,True,True
Scrambled eggs with whole wheat toast and smoked salmon,389.0,38.0,39.7,10.0,Breakfast,False,False
Tofu scramble with vegetables and avocado toast,277.0,59.7,42.0,2.3,Breakfast,True,True
Fruit and yogurt parfait,154.0,7.0,16.0,8.0,Breakfast,True,True
Pancakes with fruit and nuts,162.0,24.0,84.0,10.0,Breakfast,True,True
Tofu and vegetable scramble,205.0,11.5,40.0,11.5,Breakfast,True,True
Eggs with whole wheat toast,249.0,12.8,89.0,14.0,Breakfast,False,True
Greek yogurt with granola and berries,247.0,18.0,46.0,2.0,Breakfast,False,True
Whole-wheat toast with egg and avocado,276.0,14.9,29.0,14.2,Breakfast,False,True
Tofu scramble with spinach and mushrooms,243.0,32.0,29.0,7.0,Breakfast,True,True
Quinoa breakfast bowl with berries and nuts,292.0,12.0,38.0,10.0,Breakfast,True,True
Tofu and vegetable stir-fry with quinoa,400.0,45.0,43.0,26.0,Breakfast,True,True
Eggs with whole-wheat toast and fruit,268.0,13.0,40.0,10.0,Breakfast,True,True
Quinoa porridge with berries,275.0,14.0,27.0,14.0,Breakfast,False,False
Tofu breakfast burrito with avocado,300.0,24.0,38.0,21.0,Breakfast,True,True
Tofu scramble with avocado toast,271.0,25.2,43.0,26.0,Breakfast,True,True
Scrambled eggs with whole grain toast,403.0,25.5,79.0,17.6,Breakfast,False,True
Greek Yogurt with Berries and Nuts,253.0,17.0,25.0,1.2,Breakfast,True,True
Tofu Scramble with Avocado Toast,369.0,23.0,44.0,10.0,Breakfast,True,True
Oatmeal with Protein Powder and Berries,360.0,16.0,30.0,4.0,Breakfast,True,True
Tofu Scramble with Whole Wheat Toast,212.0,10.0,30.0,4.0,Breakfast,True,True
Eggs with Whole Wheat Toast and Avocado,340.0,29.0,57.0,30.0,Breakfast,False,True
Tofu scramble with whole grain toast and avocado,301.0,36.7,29.0,8.0,Breakfast,True,True
Eggs with whole wheat toast and fruit,233.0,18.0,35.0,12.0,Breakfast,True,True
Tofu scramble with vegan toast and avocado,136.0,18.0,53.0,5.0,Breakfast,True,True
Fruit salad with yogurt,232.0,1.0,36.0,16.0,Breakfast,True,True
Scrambled eggs with whole wheat toast and spinach,393.0,13.0,20.0,14.0,Breakfast,False,True
Tofu breakfast burrito,1360.0,19.0,180.0,40.0,Breakfast,True,True
Tofu scramble with veggies and avocado toast,260.0,24.0,58.0,34.0,Breakfast,True,True
Scrambled eggs with whole-wheat toast and fruit,403.0,28.1,46.0,14.0,Breakfast,True,True
Breakfast burrito with beans and veggies,267.0,14.0,78.0,14.0,Breakfast,True,True
Eggs with whole grain toast,303.0,13.3,47.0,27.0,Breakfast,False,True
Vegan pancakes with syrup,280.0,38.0,28.0,28.0,Breakfast,True,True
Oatmeal with berries,153.0,22.0,17.0,11.0,Breakfast,True,True
Egg and spinach wrap,323.0,57.74,60.8,10.8,Breakfast,False,True
Smoothie with protein powder,226.0,16.0,34.0,15.0,Breakfast,False,False
Grilled chicken salad with mixed greens,250.0,26.0,26.0,12.0,Lunch,False,False
Lentil soup with whole wheat bread,269.0,36.0,9.0,8.0,Lunch,True,True
Black bean burger on a whole wheat bun,171.0,57.0,32.0,15.0,Lunch,False,False
Chicken and vegetable stir-fry,578.0,43.0,62.0,10.0,Lunch,False,False
Quinoa salad with chickpeas and vegetables,492.0,10.0,47.0,9.0,Lunch,True,True
Lentil pasta with vegetables,502.0,34.0,22.0,7.0,Lunch,True,True
Chicken breast with brown rice and vegetables,270.0,24.0,19.0,11.0,Lunch,False,False
Lentil burger with sweet potato fries,670.0,50.0,45.0,14.0,Lunch,True,True
Lentil soup with wholegrain bread,137.0,4.0,72.0,8.0,Lunch,True,True
Black bean salad,535.0,22.0,35.0,6.0,Lunch,False,False
Tuna salad sandwich on wholegrain bread,570.0,31.0,25.0,13.0,Lunch,False,False
Lentil and vegetable stew,316.0,30.0,68.0,9.0,Lunch,True,True
Black bean burger on a wholegrain bun,395.0,32.0,60.0,15.0,Lunch,False,False
Grilled chicken breast with brown rice,735.0,79.0,328.0,10.0,Lunch,False,False
Chicken breast with brown rice,667.0,62.0,64.0,10.0,Lunch,False,False
Salmon salad with mixed greens and avocado,440.0,39.0,45.0,18.0,Lunch,False,False
Chicken breast with sweet potato and broccoli,550.0,25.0,25.0,12.0,Lunch,False,False
Turkey sandwich on whole wheat bread with vegetables,690.0,57.3,41.0,11.0,Lunch,True,True
Vegan lentil stew with whole wheat bread,440.0,19.0,44.0,7.0,Lunch,True,True
Tuna salad with whole wheat bread,398.0,17.2,120.0,12.0,Lunch,False,False
Lentil and vegetable curry with brown rice,638.0,37.9,37.9,10.0,Lunch,True,True
Tuna salad sandwich on whole wheat bread,840.0,57.0,52.0,13.0,Lunch,False,False
Vegetarian chili with whole wheat bread,462.0,43.0,43.0,8.0,Lunch,False,True
Chicken salad sandwich on whole wheat bread,470.0,42.0,55.0,11.0,Lunch,False,False
Tofu scramble with spinach and avocado,611.0,32.0,10.0,14.0,Lunch,True,True
Chicken breast salad with vegetables,328.0,32.0,31.0,10.0,Lunch,False,False
Lentil soup with whole-wheat bread,700.0,13.0,24.0,8.0,Lunch,True,True
Black bean burger on a whole-wheat bun,560.0,37.0,48.0,15.0,Lunch,False,False
Chicken breast salad with mixed greens,421.0,28.0,17.0,10.0,Lunch,False,False
Tofu and vegetable stir-fry with brown rice,454.0,6.0,8.0,12.0,Lunch,True,True
Grilled chicken sandwich with whole-wheat bread,300.0,19.0,272.0,13.0,Lunch,False,False
Tuna salad sandwich with whole-wheat bread,670.0,43.0,78.0,13.0,Lunch,False,False
Lentil and quinoa salad,498.0,25.0,40.0,9.0,Lunch,True,True
Chicken salad sandwich with mixed greens,520.0,13.0,48.0,11.0,Lunch,False,False
Chickpea and vegetable curry,854.0,29.0,68.0,10.0,Lunch,True,True
Black bean burgers with sweet potato fries,2065.0,40.0,206.5,16.0,Lunch,False,False
Chicken Caesar salad,581.0,28.0,39.0,14.0,Lunch,False,False
Chickpea salad sandwich with whole-wheat bread,471.0,28.0,32.0,10.0,Lunch,True,True
Vegetarian chili with a side salad,670.0,29.0,27.0,8.0,Lunch,False,True
Black bean burger with sweet potato fries,658.0,20.0,229.0,16.0,Lunch,False,False
Grilled salmon with roasted vegetables,590.0,13.0,90.0,20.0,Lunch,False,False
Chicken stir-fry with brown rice,567.7,42.0,75.0,11.0,Lunch,False,False
Tuna salad sandwich on whole-wheat bread with a side of mixed greens,520.0,27.0,29.0,14.0,Lunch,False,False
Chicken breast with quinoa and steamed vegetables,909.0,45.0,36.0,11.0,Lunch,False,False
Vegetable stir-fry with brown rice,480.0,21.0,220.0,9.0,Lunch,True,True
Chicken breast with brown rice and steamed vegetables,751.0,53.0,35.0,11.0,Lunch,False,False
Black bean burger with whole-wheat bun and salad,525.0,34.0,80.0,15.0,Lunch,False,False
Chicken salad sandwich on whole-wheat bread with a side of mixed greens,230.0,13.2,92.0,12.0,Lunch,False,False
Lentil soup with whole grain bread,443.0,28.7,38.0,8.0,Lunch,True,True
Lentil salad with quinoa and mixed greens,480.0,20.0,52.0,9.0,Lunch,True,True
Turkey sandwich on whole grain bread,580.0,29.0,42.0,11.0,Lunch,False,False
Bean burrito with brown rice,387.0,40.4,25.2,14.0,Lunch,False,False
Tuna salad with whole grain bread,510.0,23.0,23.0,12.0,Lunch,False,False
Black bean soup with whole wheat bread,335.0,19.0,61.0,7.0,Lunch,False,False
Lentil stew with brown rice and quinoa,195.0,18.0,48.5,9.0,Lunch,True,True
Chicken breast with roasted vegetables,507.0,123.0,44.0,12.0,Lunch,False,False
Lentil and vegetable soup with whole-wheat bread,300.0,25.0,50.0,8.0,Lunch,True,True
Black bean burgers on whole-wheat buns with salad,689.0,11.0,47.0,15.0,Lunch,False,False
Lentil and vegetable curry with brown rice and quinoa,260.0,19.0,36.0,10.0,Lunch,True,True
Chickpea salad sandwich on whole wheat bread,330.0,10.0,56.0,10.0,Lunch,True,True
Chicken breast with brown rice and roasted vegetables,530.0,72.0,60.0,12.0,Lunch,False,False
Black bean burger with whole wheat bun,190.0,12.0,27.0,15.0,Lunch,False,False
Quinoa salad with chicken and vegetables,459.0,20.0,38.5,10.0,Lunch,False,False
Tuna salad sandwich on whole-wheat bread,318.0,31.7,12.0,13.0,Lunch,False,False
Chickpea salad with mixed greens,611.0,5.7,5.7,9.0,Lunch,True,True
Vegan lentil stew with brown rice,850.0,23.0,31.0,7.0,Lunch,True,True
Vegetarian chili with whole-wheat bread,307.0,11.0,68.6,8.0,Lunch,False,True
Chicken salad sandwich on whole-wheat bread,162.0,25.0,90.0,11.0,Lunch,False,False
Grilled chicken salad with mixed greens and avocado,260.0,42.0,24.0,14.0,Lunch,False,False
Chicken and vegetable stir-fry with brown rice,732.0,77.0,300.0,11.0,Lunch,False,False
Vegan pasta salad with vegetables,1430.0,42.0,180.0,8.0,Lunch,True,True
Vegetarian chili with brown rice,563.0,42.0,12.0,8.0,Lunch,False,True
Lentil and vegetable soup with whole wheat bread,344.0,3.7,130.0,8.0,Lunch,True,True
Chicken breast and brown rice with vegetables,400.0,44.0,44.0,11.0,Lunch,False,False
Tofu stir-fry with brown rice,323.0,48.0,131.0,12.0,Lunch,True,True
Salmon with roasted vegetables,580.0,42.0,58.0,20.0,Lunch,False,False
Lentil and vegetable curry with rice,367.0,20.8,43.0,10.0,Lunch,True,True
Tuna salad sandwich on whole-wheat bread with a side salad,580.0,27.0,196.0,14.0,Lunch,False,False
Lentil soup with a side of whole-wheat bread,362.0,33.0,12.0,8.0,Lunch,True,True
Chicken breast with brown rice and broccoli,374.0,43.0,37.0,11.0,Lunch,False,False
Lentil stew with a side of whole-wheat bread,225.0,12.0,77.0,8.0,Lunch,True,True
Vegetarian chili with a side of whole-wheat bread,310.0,30.0,107.0,8.0,Lunch,False,True
Grilled chicken breast salad with mixed greens and avocado,220.0,14.0,22.0,14.0,Lunch,False,False
Turkey sandwich on whole-wheat bread with vegetables,365.0,31.0,91.0,11.0,Lunch,True,True
Black bean burger with a side salad,520.0,20.0,115.0,15.0,Lunch,False,False
Lentil and vegetable curry,506.0,22.1,105.0,10.0,Lunch,True,True
Chicken breast with quinoa and roasted vegetables,410.0,53.0,40.0,12.0,Lunch,False,False
Quinoa salad with grilled chicken and vegetables,661.0,29.0,28.0,10.0,Lunch,False,False
Lentil soup with whole-grain bread,340.0,7.0,34.0,8.0,Lunch,True,True
Lentil stew with whole-grain bread,225.0,26.0,240.7,8.0,Lunch,True,True
Black bean soup with whole grain bread,330.0,25.0,2.0,7.0,Lunch,False,False
Black bean burger on a whole grain bun,460.0,24.0,46.0,15.0,Lunch,False,False
Chicken and vegetable fajitas,310.0,160.0,20.0,12.0,Lunch,False,False
Lentil salad with mixed greens,425.0,18.0,425.0,9.0,Lunch,True,True
Chicken breast salad with mixed greens and vegetables,412.0,24.0,68.0,10.0,Lunch,False,False
Black bean salad with mixed greens,342.0,26.0,342.0,6.0,Lunch,False,False
Chickpea salad with whole-wheat bread,797.0,49.0,312.0,9.0,Lunch,True,True
Vegan lentil soup with whole wheat bread,360.0,4.0,46.0,7.0,Lunch,True,True
Vegetarian burrito bowl with brown rice,410.0,16.0,31.0,14.0,Lunch,False,True
Vegan chili with brown rice,496.0,31.8,140.0,8.0,Lunch,True,True
Vegetarian pasta with marinara sauce,590.0,26.0,247.0,7.0,Lunch,False,True
Chicken breast with quinoa and vegetables,431.0,50.0,45.0,11.0,Lunch,False,False
Turkey sandwich on whole-wheat bread,630.0,45.0,68.0,11.0,Lunch,False,False
Chicken stir fry with brown rice and vegetables,525.0,116.0,75.0,11.0,Lunch,False,False
Lentil soup with whole-wheat bread and salad,477.0,47.0,227.0,8.0,Lunch,True,True
Tuna salad sandwich on whole-wheat bread with salad,289.0,21.0,26.0,14.0,Lunch,False,False
Black bean burger on whole-wheat bun with salad,450.0,22.0,45.0,15.0,Lunch,False,False
Turkey sandwich on whole-wheat bread with salad,268.0,28.0,27.0,11.0,Lunch,False,False
Bean burrito with brown rice and salsa,430.0,25.0,28.0,14.0,Lunch,False,False
Vegetable stir fry with brown rice,378.0,12.0,63.0,9.0,Lunch,True,True
Tuna salad sandwich on whole-grain bread,430.0,10.0,27.0,13.0,Lunch,False,False
Turkey breast sandwich on whole-grain bread,211.0,15.0,21.0,11.0,Lunch,False,False
Chickpea pasta with marinara sauce,495.0,22.3,127.0,7.0,Lunch,True,True
Chicken salad sandwich on whole-grain bread,300.0,25.0,25.0,11.0,Lunch,False,False
Chickpea pasta salad with vegetables,550.0,14.0,11.0,8.0,Lunch,True,True
Black bean and sweet potato burrito,212.0,12.0,49.0,16.0,Lunch,False,False
Chicken and vegetable skewers,480.0,25.0,10.0,12.0,Lunch,False,False
Grilled chicken salad with quinoa,1070.0,54.0,110.0,12.0,Lunch,False,False
Lentil and vegetable soup,80.0,4.0,17.0,8.0,Lunch,True,True
Chicken and vegetable soup,420.5,26.33,26.33,7.0,Lunch,False,False
Lentil pasta with vegan cheese,448.0,31.0,45.0,8.0,Lunch,True,True
Quinoa salad with grilled tofu,450.0,27.7,70.0,9.0,Lunch,True,True
Lentil stew with whole wheat bread,230.0,37.0,37.0,8.0,Lunch,True,True
Lentil and vegetable stew with brown rice,401.0,30.0,20.0,9.0,Lunch,True,True
Grilled chicken salad with mixed greens and vegetables,560.0,20.0,48.0,12.0,Lunch,False,False
Lentil stew with brown rice,1300.0,29.0,110.0,9.0,Lunch,True,True
Chickpea salad sandwich on wholegrain bread,255.0,12.2,24.0,10.0,Lunch,True,True
Black bean burger on whole-wheat bun,860.0,18.0,180.0,15.0,Lunch,False,False
Chicken breast with brown rice and quinoa,477.0,46.0,46.0,11.0,Lunch,False,False
Vegetable stir-fry with rice noodles,383.0,22.0,94.0,9.0,Lunch,True,True
Chicken and vegetable wrap,500.0,28.0,92.0,11.0,Lunch,False,False
Chickpea pasta with vegetable sauce,290.0,29.0,71.0,8.0,Lunch,True,True
Chicken breast with mixed greens salad,800.0,56.0,110.0,10.0,Lunch,False,False
Chicken breast salad with mixed greens and avocado,740.0,33.0,20.0,14.0,Lunch,False,False
Lentil and chickpea salad with whole grain pita,390.0,73.0,73.0,9.0,Lunch,True,True
Lentil and vegetable soup with whole grain bread,480.0,16.5,14.0,8.0,Lunch,True,True
Lentil and vegetable curry with brown rice and naan bread,639.0,7.0,35.0,10.0,Lunch,True,True
Chickpea pasta salad with roasted vegetables,211.0,17.0,29.0,8.0,Lunch,True,True
Turkey breast sandwich with mixed greens,450.0,27.1,25.5,11.0,Lunch,False,False
Black bean burger on whole wheat bun with salad,450.0,4.0,37.0,15.0,Lunch,False,False
Mixed greens salad with chickpeas and tahini dressing,500.0,26.0,12.0,9.0,Lunch,True,True
Chicken and rice bowl with vegetables,1010.0,70.0,367.0,11.0,Lunch,False,False
Lentil salad with quinoa and avocado,120.0,18.0,9.0,9.0,Lunch,True,True
Quinoa salad with chickpeas and avocado,422.0,11.6,30.0,9.0,Lunch,True,True
Chicken salad with whole grain bread,487.0,33.0,240.0,11.0,Lunch,False,False
Black bean burger on a whole-wheat bun with salad,453.0,46.0,46.0,15.0,Lunch,False,False
Chicken breast with sweet potato and roasted vegetables,453.0,43.0,18.0,12.0,Lunch,False,False
Quinoa salad with vegetables,430.0,34.0,45.0,9.0,Lunch,True,True
Chickpea pasta with vegetables and vegan cheese,450.0,20.0,60.0,8.0,Lunch,True,True
Chicken breast with roasted vegetables and quinoa,440.0,52.0,57.0,12.0,Lunch,False,False
Vegetable soup with whole-wheat bread,350.0,22.0,35.0,7.0,Lunch,True,True
Chickpea and vegetable stew,327.0,15.0,35.0,9.0,Lunch,True,True
Lentil soup with a side salad,400.0,12.5,200.0,8.0,Lunch,True,True
Lentil stew with whole-wheat bread,125.0,39.0,35.0,8.0,Lunch,True,True
Black bean burgers on whole-wheat buns with a side salad,1030.0,39.0,179.0,15.0,Lunch,False,False
Chicken salad sandwich on whole-wheat bread with a side salad,374.0,33.0,48.0,12.0,Lunch,False,False
Chickpea salad sandwich on whole-wheat bread with a side salad,533.0,15.0,107.0,10.0,Lunch,True,True
Chicken salad with whole-wheat bread,250.0,16.0,25.0,11.0,Lunch,False,False
Tuna salad with whole-wheat bread,570.0,28.0,11.0,12.0,Lunch,False,False
Turkey sandwich with whole-wheat bread,581.0,53.0,50.0,11.0,Lunch,False,False
Chicken salad sandwich on whole-wheat bread with a side of fruit,360.0,23.0,36.0,12.0,Lunch,False,False
Black bean burger on a whole-wheat bun with a side salad,414.0,29.0,74.0,15.0,Lunch,False,False
Tuna salad sandwich on whole-wheat bread with a side of fruit,494.0,27.0,48.0,14.0,Lunch,True,True
Chickpea salad sandwich on whole-wheat bread with a side of fruit,472.0,20.0,27.0,10.0,Lunch,True,True
Black bean burger on a whole wheat bun with salad,494.0,22.0,128.0,15.0,Lunch,False,False
Black bean burger on a whole-grain bun,240.0,24.0,24.0,15.0,Lunch,False,False
Grilled chicken salad with whole grain bread,385.0,35.0,250.0,12.0,Lunch,False,False
Quinoa bowl with roasted vegetables and chickpeas,335.0,28.0,73.0,9.0,Lunch,True,True
Chickpea and vegetable curry with brown rice,551.0,10.0,351.0,10.0,Lunch,True,True
Quinoa salad with roasted vegetables and chickpeas,170.0,6.0,26.0,9.0,Lunch,True,True
Tuna Salad Sandwich on Whole Wheat Bread,261.0,4.7,59.0,13.0,Lunch,False,False
Quinoa Salad with Grilled Vegetables,650.0,24.0,25.0,9.0,Lunch,True,True
Chicken Breast with Brown Rice and Steamed Vegetables,550.0,36.0,36.0,11.0,Lunch,False,False
Lentil and Vegetable Curry with Brown Rice,544.0,20.0,10.0,10.0,Lunch,True,True
Chicken and Vegetable Wrap on Whole Wheat Tortilla,410.0,29.0,18.0,11.0,Lunch,False,False
Tuna salad sandwich on whole grain bread,671.0,26.0,16.0,13.0,Lunch,False,False
Chicken salad sandwich on whole grain bread with a side of fruit,282.8,34.0,36.0,12.0,Lunch,False,False
Tuna salad sandwich on whole grain bread with a side of salad,502.0,22.0,108.0,14.0,Lunch,False,False
Chickpea salad sandwich on whole grain bread,286.0,12.0,24.0,10.0,Lunch,True,True
Vegan lentil burger with sweet potato fries,551.0,14.3,34.8,14.0,Lunch,True,True
Vegan chili with whole wheat bread,432.0,41.0,37.0,8.0,Lunch,True,True
Chicken breast salad with whole-wheat bread,330.0,27.0,275.0,10.0,Lunch,False,False
Lentil and veggie stir-fry with brown rice,305.0,8.7,23.0,10.0,Lunch,True,True
Turkey and veggie wrap with whole-wheat tortilla,590.0,31.0,69.0,11.0,Lunch,False,True
Vegetarian chili with whole grain bread,270.0,14.0,57.0,8.0,Lunch,False,True
Veggie stir-fry,171.0,36.0,46.0,9.0,Lunch,False,True
Lentil soup with bread,115.0,21.0,75.0,8.0,Lunch,True,True
Grilled chicken salad,308.0,34.0,32.0,12.0,Lunch,False,False
Turkey sandwich,820.0,42.0,142.0,11.0,Lunch,False,False
Avocado and chickpea salad,483.0,3.6,40.0,9.0,Lunch,True,True
Salmon with roasted vegetables,2020.0,60.0,250.0,60.0,Dinner,False,False
Vegetable stir-fry with brown rice,10.0,5.0,31.0,27.0,Dinner,True,True
Lentil and vegetable curry,326.0,55.0,150.0,15.0,Dinner,True,True
Turkey chili with brown rice,278.0,20.0,163.0,27.0,Dinner,False,False
Vegetarian chili with cornbread,186.0,6.3,186.0,22.0,Dinner,False,True
Vegan stir-fry with brown rice,17.0,5.0,22.0,43.0,Dinner,True,True
Steak with sweet potato and broccoli,730.0,21.0,72.0,54.0,Dinner,False,False
Quinoa and vegetable bowl,294.0,27.0,30.0,11.0,Dinner,True,True
Vegan chili with cornbread,390.0,4.0,45.0,8.0,Dinner,True,True
Vegan pasta with vegetables and sauce,1670.0,40.4,47.5,50.0,Dinner,True,True
Chickpea and vegetable curry,710.0,28.0,300.0,29.0,Dinner,True,True
Vegetable stir-fry with tofu,597.0,3.4,59.0,25.0,Dinner,True,True
Chicken breast with steamed vegetables,100.0,31.0,28.0,31.0,Dinner,False,False
Vegan chili,500.0,28.0,140.0,7.0,Dinner,True,True
Lentil pasta with vegetables,715.0,19.0,11.0,44.0,Dinner,True,True
Steak with roasted vegetables,1507.0,93.1,196.0,93.1,Dinner,True,True
