Food_name,Calories,Protein,Carbohydrates,Fats,Meal_type,is_vegan,is_vegetarian,Food_type
Breakfast burrito with beans and vegetables,117,24,45,2,Breakfast,TRUE,TRUE,Global
Oatmeal with protein powder and banana,294,26,61,20,Breakfast,TRUE,TRUE,Global
Tofu and vegetable scramble with avocado toast,264,30,22,28,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole wheat toast and smoked salmon,389,38,39.7,10,Breakfast,FALSE,FALSE,Global
Tofu scramble with vegetables and avocado toast,277,59.7,42,2.3,Breakfast,TRUE,TRUE,Global
Fruit and yogurt parfait,154,7,16,8,Breakfast,TRUE,TRUE,Global
Pancakes with fruit and nuts,162,24,84,10,Breakfast,TRUE,TRUE,Global
Tofu and vegetable scramble,205,11.5,40,11.5,Breakfast,TRUE,TRUE,Global
Eggs with whole wheat toast,249,12.8,89,14,Breakfast,FALSE,TRUE,Global
Greek yogurt with granola and berries,247,18,46,2,Breakfast,FALSE,TRUE,Global
Whole-wheat toast with egg and avocado,276,14.9,29,14.2,Breakfast,FALSE,TRUE,Global
Tofu scramble with spinach and mushrooms,243,32,29,7,Breakfast,TRUE,TRUE,Global
Quinoa breakfast bowl with berries and nuts,292,12,38,10,Breakfast,TRUE,TRUE,Global
Tofu and vegetable stir-fry with quinoa,400,45,43,26,Breakfast,TRUE,TRUE,Global
Eggs with whole-wheat toast and fruit,268,13,40,10,Breakfast,TRUE,TRUE,Global
Quinoa porridge with berries,275,14,27,14,Breakfast,FALSE,FALSE,Global
Tofu breakfast burrito with avocado,300,24,38,21,Breakfast,TRUE,TRUE,Global
Tofu scramble with avocado toast,271,25.2,43,26,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole grain toast,403,25.5,79,17.6,Breakfast,FALSE,TRUE,Global
Greek Yogurt with Berries and Nuts,253,17,25,1.2,Breakfast,TRUE,TRUE,Global
Tofu Scramble with Avocado Toast,369,23,44,10,Breakfast,TRUE,TRUE,Global
Oatmeal with Protein Powder and Berries,360,16,30,4,Breakfast,TRUE,TRUE,Global
Tofu Scramble with Whole Wheat Toast,212,10,30,4,Breakfast,TRUE,TRUE,Global
Eggs with Whole Wheat Toast and Avocado,340,29,57,30,Breakfast,FALSE,TRUE,Global
Tofu scramble with whole grain toast and avocado,301,36.7,29,8,Breakfast,TRUE,TRUE,Global
Eggs with whole wheat toast and fruit,233,18,35,12,Breakfast,TRUE,TRUE,Global
Tofu scramble with vegan toast and avocado,136,18,53,5,Breakfast,TRUE,TRUE,Global
Fruit salad with yogurt,232,1,36,16,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole wheat toast and spinach,393,13,20,14,Breakfast,FALSE,TRUE,Global
Tofu breakfast burrito,1360,19,180,40,Breakfast,TRUE,TRUE,Global
Tofu scramble with veggies and avocado toast,260,24,58,34,Breakfast,TRUE,TRUE,Global
Scrambled eggs with whole-wheat toast and fruit,403,28.1,46,14,Breakfast,TRUE,TRUE,Global
Breakfast burrito with beans and veggies,267,14,78,14,Breakfast,TRUE,TRUE,Global
Eggs with whole grain toast,303,13.3,47,27,Breakfast,FALSE,TRUE,Global
Vegan pancakes with syrup,280,38,28,28,Breakfast,TRUE,TRUE,Global
Oatmeal with berries,153,22,17,11,Breakfast,TRUE,TRUE,Global
Egg and spinach wrap,323,57.74,60.8,10.8,Breakfast,FALSE,TRUE,Global
Smoothie with protein powder,226,16,34,15,Breakfast,FALSE,FALSE,Global
Grilled chicken salad with mixed greens,250,26,26,12,Lunch,FALSE,FALSE,Global
Lentil soup with whole wheat bread,269,36,9,8,Lunch,TRUE,TRUE,Global
Black bean burger on a whole wheat bun,171,57,32,15,Lunch,FALSE,FALSE,Global
Chicken and vegetable stir-fry,578,43,62,10,Lunch,FALSE,FALSE,Global
Quinoa salad with chickpeas and vegetables,492,10,47,9,Lunch,TRUE,TRUE,Global
Lentil pasta with vegetables,502,34,22,7,Lunch,TRUE,TRUE,Global
Chicken breast with brown rice and vegetables,270,24,19,11,Lunch,FALSE,FALSE,Global
Lentil burger with sweet potato fries,670,50,45,14,Lunch,TRUE,TRUE,Global
Lentil soup with wholegrain bread,137,4,72,8,Lunch,TRUE,TRUE,Global
Black bean salad,535,22,35,6,Lunch,FALSE,FALSE,Global
Tuna salad sandwich on wholegrain bread,570,31,25,13,Lunch,FALSE,FALSE,Global
Lentil and vegetable stew,316,30,68,9,Lunch,TRUE,TRUE,Global
Black bean burger on a wholegrain bun,395,32,60,15,Lunch,FALSE,FALSE,Global
Grilled chicken breast with brown rice,735,79,328,10,Lunch,FALSE,FALSE,Global
Chicken breast with brown rice,667,62,64,10,Lunch,FALSE,FALSE,Global
Salmon salad with mixed greens and avocado,440,39,45,18,Lunch,FALSE,FALSE,Global
Chicken breast with sweet potato and broccoli,550,25,25,12,Lunch,FALSE,FALSE,Global
Turkey sandwich on whole wheat bread with vegetables,690,57.3,41,11,Lunch,TRUE,TRUE,Global
Vegan lentil stew with whole wheat bread,440,19,44,7,Lunch,TRUE,TRUE,Global
Tuna salad with whole wheat bread,398,17.2,120,12,Lunch,FALSE,FALSE,Global
Lentil and vegetable curry with brown rice,638,37.9,37.9,10,Lunch,TRUE,TRUE,Global
Tuna salad sandwich on whole wheat bread,840,57,52,13,Lunch,FALSE,FALSE,Global
Vegetarian chili with whole wheat bread,462,43,43,8,Lunch,FALSE,TRUE,Global
Chicken salad sandwich on whole wheat bread,470,42,55,11,Lunch,FALSE,FALSE,Global
Tofu scramble with spinach and avocado,611,32,10,14,Lunch,TRUE,TRUE,Global
Chicken breast salad with vegetables,328,32,31,10,Lunch,FALSE,FALSE,Global
Lentil soup with whole-wheat bread,700,13,24,8,Lunch,TRUE,TRUE,Global
Black bean burger on a whole-wheat bun,560,37,48,15,Lunch,FALSE,FALSE,Global
Chicken breast salad with mixed greens,421,28,17,10,Lunch,FALSE,FALSE,Global
Tofu and vegetable stir-fry with brown rice,454,6,8,12,Lunch,TRUE,TRUE,Global
Grilled chicken sandwich with whole-wheat bread,300,19,272,13,Lunch,FALSE,FALSE,Global
Tuna salad sandwich with whole-wheat bread,670,43,78,13,Lunch,FALSE,FALSE,Global
Lentil and quinoa salad,498,25,40,9,Lunch,TRUE,TRUE,Global
Chicken salad sandwich with mixed greens,520,13,48,11,Lunch,FALSE,FALSE,Global
Chickpea and vegetable curry,854,29,68,10,Lunch,TRUE,TRUE,Global
Black bean burgers with sweet potato fries,2065,40,206.5,16,Lunch,FALSE,FALSE,Global
Chicken Caesar salad,581,28,39,14,Lunch,FALSE,FALSE,Global
Chickpea salad sandwich with whole-wheat bread,471,28,32,10,Lunch,TRUE,TRUE,Global
Vegetarian chili with a side salad,670,29,27,8,Lunch,FALSE,TRUE,Global
Black bean burger with sweet potato fries,658,20,229,16,Lunch,FALSE,FALSE,Global
Grilled salmon with roasted vegetables,590,13,90,20,Lunch,FALSE,FALSE,Global
Chicken stir-fry with brown rice,567.7,42,75,11,Lunch,FALSE,FALSE,Global
Tuna salad sandwich on whole-wheat bread with a side of mixed greens,520,27,29,14,Lunch,FALSE,FALSE,Global
Chicken breast with quinoa and steamed vegetables,909,45,36,11,Lunch,FALSE,FALSE,Global
Vegetable stir-fry with brown rice,480,21,220,9,Lunch,TRUE,TRUE,Global
Chicken breast with brown rice and steamed vegetables,751,53,35,11,Lunch,FALSE,FALSE,Global
Black bean burger with whole-wheat bun and salad,525,34,80,15,Lunch,FALSE,FALSE,Global
Chicken salad sandwich on whole-wheat bread with a side of mixed greens,230,13.2,92,12,Lunch,FALSE,FALSE,Global
Lentil soup with whole grain bread,443,28.7,38,8,Lunch,TRUE,TRUE,Global
Lentil salad with quinoa and mixed greens,480,20,52,9,Lunch,TRUE,TRUE,Global
Turkey sandwich on whole grain bread,580,29,42,11,Lunch,FALSE,FALSE,Global
Bean burrito with brown rice,387,40.4,25.2,14,Lunch,FALSE,FALSE,Global
Tuna salad with whole grain bread,510,23,23,12,Lunch,FALSE,FALSE,Global
Black bean soup with whole wheat bread,335,19,61,7,Lunch,FALSE,FALSE,Global
Lentil stew with brown rice and quinoa,195,18,48.5,9,Lunch,TRUE,TRUE,Global
Chicken breast with roasted vegetables,507,123,44,12,Lunch,FALSE,FALSE,Global
Lentil and vegetable soup with whole-wheat bread,300,25,50,8,Lunch,TRUE,TRUE,Global
Black bean burgers on whole-wheat buns with salad,689,11,47,15,Lunch,FALSE,FALSE,Global
Lentil and vegetable curry with brown rice and quinoa,260,19,36,10,Lunch,TRUE,TRUE,Global
Chickpea salad sandwich on whole wheat bread,330,10,56,10,Lunch,TRUE,TRUE,Global
Chicken breast with brown rice and roasted vegetables,530,72,60,12,Lunch,FALSE,FALSE,Global
Black bean burger with whole wheat bun,190,12,27,15,Lunch,FALSE,FALSE,Global
Quinoa salad with chicken and vegetables,459,20,38.5,10,Lunch,FALSE,FALSE,Global
Tuna salad sandwich on whole-wheat bread,318,31.7,12,13,Lunch,FALSE,FALSE,Global
Chickpea salad with mixed greens,611,5.7,5.7,9,Lunch,TRUE,TRUE,Global
Vegan lentil stew with brown rice,850,23,31,7,Lunch,TRUE,TRUE,Global
Vegetarian chili with whole-wheat bread,307,11,68.6,8,Lunch,FALSE,TRUE,Global
Chicken salad sandwich on whole-wheat bread,162,25,90,11,Lunch,FALSE,FALSE,Global
Grilled chicken salad with mixed greens and avocado,260,42,24,14,Lunch,FALSE,FALSE,Global
Chicken and vegetable stir-fry with brown rice,732,77,300,11,Lunch,FALSE,FALSE,Global
Vegan pasta salad with vegetables,1430,42,180,8,Lunch,TRUE,TRUE,Global
Vegetarian chili with brown rice,563,42,12,8,Lunch,FALSE,TRUE,Global
Lentil and vegetable soup with whole wheat bread,344,3.7,130,8,Lunch,TRUE,TRUE,Global
Chicken breast and brown rice with vegetables,400,44,44,11,Lunch,FALSE,FALSE,Global
Tofu stir-fry with brown rice,323,48,131,12,Lunch,TRUE,TRUE,Global
Salmon with roasted vegetables,580,42,58,20,Lunch,FALSE,FALSE,Global
Lentil and vegetable curry with rice,367,20.8,43,10,Lunch,TRUE,TRUE,Global
Tuna salad sandwich on whole-wheat bread with a side salad,580,27,196,14,Lunch,FALSE,FALSE,Global
Lentil soup with a side of whole-wheat bread,362,33,12,8,Lunch,TRUE,TRUE,Global
Chicken breast with brown rice and broccoli,374,43,37,11,Lunch,FALSE,FALSE,Global
Lentil stew with a side of whole-wheat bread,225,12,77,8,Lunch,TRUE,TRUE,Global
Vegetarian chili with a side of whole-wheat bread,310,30,107,8,Lunch,FALSE,TRUE,Global
Grilled chicken breast salad with mixed greens and avocado,220,14,22,14,Lunch,FALSE,FALSE,Global
Turkey sandwich on whole-wheat bread with vegetables,365,31,91,11,Lunch,TRUE,TRUE,Global
Black bean burger with a side salad,520,20,115,15,Lunch,FALSE,FALSE,Global
Lentil and vegetable curry,506,22.1,105,10,Lunch,TRUE,TRUE,Global
Chicken breast with quinoa and roasted vegetables,410,53,40,12,Lunch,FALSE,FALSE,Global
Quinoa salad with grilled chicken and vegetables,661,29,28,10,Lunch,FALSE,FALSE,Global
Lentil soup with whole-grain bread,340,7,34,8,Lunch,TRUE,TRUE,Global
Lentil stew with whole-grain bread,225,26,240.7,8,Lunch,TRUE,TRUE,Global
Black bean soup with whole grain bread,330,25,2,7,Lunch,FALSE,FALSE,Global
Black bean burger on a whole grain bun,460,24,46,15,Lunch,FALSE,FALSE,Global
Chicken and vegetable fajitas,310,160,20,12,Lunch,FALSE,FALSE,Global
Lentil salad with mixed greens,425,18,425,9,Lunch,TRUE,TRUE,Global
Chicken breast salad with mixed greens and vegetables,412,24,68,10,Lunch,FALSE,FALSE,Global
Black bean salad with mixed greens,342,26,342,6,Lunch,FALSE,FALSE,Global
Chickpea salad with whole-wheat bread,797,49,312,9,Lunch,TRUE,TRUE,Global
Vegan lentil soup with whole wheat bread,360,4,46,7,Lunch,TRUE,TRUE,Global
Vegetarian burrito bowl with brown rice,410,16,31,14,Lunch,FALSE,TRUE,Global
Vegan chili with brown rice,496,31.8,140,8,Lunch,TRUE,TRUE,Global
Vegetarian pasta with marinara sauce,590,26,247,7,Lunch,FALSE,TRUE,Global
Chicken breast with quinoa and vegetables,431,50,45,11,Lunch,FALSE,FALSE,Global
Turkey sandwich on whole-wheat bread,630,45,68,11,Lunch,FALSE,FALSE,Global
Chicken stir fry with brown rice and vegetables,525,116,75,11,Lunch,FALSE,FALSE,Global
Lentil soup with whole-wheat bread and salad,477,47,227,8,Lunch,TRUE,TRUE,Global
Tuna salad sandwich on whole-wheat bread with salad,289,21,26,14,Lunch,FALSE,FALSE,Global
Black bean burger on whole-wheat bun with salad,450,22,45,15,Lunch,FALSE,FALSE,Global
Turkey sandwich on whole-wheat bread with salad,268,28,27,11,Lunch,FALSE,FALSE,Global
Bean burrito with brown rice and salsa,430,25,28,14,Lunch,FALSE,FALSE,Global
Vegetable stir fry with brown rice,378,12,63,9,Lunch,TRUE,TRUE,Global
Tuna salad sandwich on whole-grain bread,430,10,27,13,Lunch,FALSE,FALSE,Global
Turkey breast sandwich on whole-grain bread,211,15,21,11,Lunch,FALSE,FALSE,Global
Chickpea pasta with marinara sauce,495,22.3,127,7,Lunch,TRUE,TRUE,Global
Chicken salad sandwich on whole-grain bread,300,25,25,11,Lunch,FALSE,FALSE,Global
Chickpea pasta salad with vegetables,550,14,11,8,Lunch,TRUE,TRUE,Global
Black bean and sweet potato burrito,212,12,49,16,Lunch,FALSE,FALSE,Global
Chicken and vegetable skewers,480,25,10,12,Lunch,FALSE,FALSE,Global
Grilled chicken salad with quinoa,1070,54,110,12,Lunch,FALSE,FALSE,Global
Lentil and vegetable soup,80,4,17,8,Lunch,TRUE,TRUE,Global
Chicken and vegetable soup,420.5,26.33,26.33,7,Lunch,FALSE,FALSE,Global
Lentil pasta with vegan cheese,448,31,45,8,Lunch,TRUE,TRUE,Global
Quinoa salad with grilled tofu,450,27.7,70,9,Lunch,TRUE,TRUE,Global
Lentil stew with whole wheat bread,230,37,37,8,Lunch,TRUE,TRUE,Global
Lentil and vegetable stew with brown rice,401,30,20,9,Lunch,TRUE,TRUE,Global
Grilled chicken salad with mixed greens and vegetables,560,20,48,12,Lunch,FALSE,FALSE,Global
Lentil stew with brown rice,1300,29,110,9,Lunch,TRUE,TRUE,Global
Chickpea salad sandwich on wholegrain bread,255,12.2,24,10,Lunch,TRUE,TRUE,Global
Black bean burger on whole-wheat bun,860,18,180,15,Lunch,FALSE,FALSE,Global
Chicken breast with brown rice and quinoa,477,46,46,11,Lunch,FALSE,FALSE,Global
Vegetable stir-fry with rice noodles,383,22,94,9,Lunch,TRUE,TRUE,Global
Chicken and vegetable wrap,500,28,92,11,Lunch,FALSE,FALSE,Global
Chickpea pasta with vegetable sauce,290,29,71,8,Lunch,TRUE,TRUE,Global
Chicken breast with mixed greens salad,800,56,110,10,Lunch,FALSE,FALSE,Global
Chicken breast salad with mixed greens and avocado,740,33,20,14,Lunch,FALSE,FALSE,Global
Lentil and chickpea salad with whole grain pita,390,73,73,9,Lunch,TRUE,TRUE,Global
Lentil and vegetable soup with whole grain bread,480,16.5,14,8,Lunch,TRUE,TRUE,Global
Lentil and vegetable curry with brown rice and naan bread,639,7,35,10,Lunch,TRUE,TRUE,Global
Chickpea pasta salad with roasted vegetables,211,17,29,8,Lunch,TRUE,TRUE,Global
Turkey breast sandwich with mixed greens,450,27.1,25.5,11,Lunch,FALSE,FALSE,Global
Black bean burger on whole wheat bun with salad,450,4,37,15,Lunch,FALSE,FALSE,Global
Mixed greens salad with chickpeas and tahini dressing,500,26,12,9,Lunch,TRUE,TRUE,Global
Chicken and rice bowl with vegetables,1010,70,367,11,Lunch,FALSE,FALSE,Global
Lentil salad with quinoa and avocado,120,18,9,9,Lunch,TRUE,TRUE,Global
Quinoa salad with chickpeas and avocado,422,11.6,30,9,Lunch,TRUE,TRUE,Global
Chicken salad with whole grain bread,487,33,240,11,Lunch,FALSE,FALSE,Global
Black bean burger on a whole-wheat bun with salad,453,46,46,15,Lunch,FALSE,FALSE,Global
Chicken breast with sweet potato and roasted vegetables,453,43,18,12,Lunch,FALSE,FALSE,Global
Quinoa salad with vegetables,430,34,45,9,Lunch,TRUE,TRUE,Global
Chickpea pasta with vegetables and vegan cheese,450,20,60,8,Lunch,TRUE,TRUE,Global
Chicken breast with roasted vegetables and quinoa,440,52,57,12,Lunch,FALSE,FALSE,Global
Vegetable soup with whole-wheat bread,350,22,35,7,Lunch,TRUE,TRUE,Global
Chickpea and vegetable stew,327,15,35,9,Lunch,TRUE,TRUE,Global
Lentil soup with a side salad,400,12.5,200,8,Lunch,TRUE,TRUE,Global
Lentil stew with whole-wheat bread,125,39,35,8,Lunch,TRUE,TRUE,Global
Black bean burgers on whole-wheat buns with a side salad,1030,39,179,15,Lunch,FALSE,FALSE,Global
Chicken salad sandwich on whole-wheat bread with a side salad,374,33,48,12,Lunch,FALSE,FALSE,Global
Chickpea salad sandwich on whole-wheat bread with a side salad,533,15,107,10,Lunch,TRUE,TRUE,Global
Chicken salad with whole-wheat bread,250,16,25,11,Lunch,FALSE,FALSE,Global
Tuna salad with whole-wheat bread,570,28,11,12,Lunch,FALSE,FALSE,Global
Turkey sandwich with whole-wheat bread,581,53,50,11,Lunch,FALSE,FALSE,Global
Chicken salad sandwich on whole-wheat bread with a side of fruit,360,23,36,12,Lunch,FALSE,FALSE,Global
Black bean burger on a whole-wheat bun with a side salad,414,29,74,15,Lunch,FALSE,FALSE,Global
Tuna salad sandwich on whole-wheat bread with a side of fruit,494,27,48,14,Lunch,TRUE,TRUE,Global
Chickpea salad sandwich on whole-wheat bread with a side of fruit,472,20,27,10,Lunch,TRUE,TRUE,Global
Black bean burger on a whole wheat bun with salad,494,22,128,15,Lunch,FALSE,FALSE,Global
Black bean burger on a whole-grain bun,240,24,24,15,Lunch,FALSE,FALSE,Global
Grilled chicken salad with whole grain bread,385,35,250,12,Lunch,FALSE,FALSE,Global
Quinoa bowl with roasted vegetables and chickpeas,335,28,73,9,Lunch,TRUE,TRUE,Global
Chickpea and vegetable curry with brown rice,551,10,351,10,Lunch,TRUE,TRUE,Global
Quinoa salad with roasted vegetables and chickpeas,170,6,26,9,Lunch,TRUE,TRUE,Global
Tuna Salad Sandwich on Whole Wheat Bread,261,4.7,59,13,Lunch,FALSE,FALSE,Global
Quinoa Salad with Grilled Vegetables,650,24,25,9,Lunch,TRUE,TRUE,Global
Chicken Breast with Brown Rice and Steamed Vegetables,550,36,36,11,Lunch,FALSE,FALSE,Global
Lentil and Vegetable Curry with Brown Rice,544,20,10,10,Lunch,TRUE,TRUE,Global
Chicken and Vegetable Wrap on Whole Wheat Tortilla,410,29,18,11,Lunch,FALSE,FALSE,Global
Tuna salad sandwich on whole grain bread,671,26,16,13,Lunch,FALSE,FALSE,Global
Chicken salad sandwich on whole grain bread with a side of fruit,282.8,34,36,12,Lunch,FALSE,FALSE,Global
Tuna salad sandwich on whole grain bread with a side of salad,502,22,108,14,Lunch,FALSE,FALSE,Global
Chickpea salad sandwich on whole grain bread,286,12,24,10,Lunch,TRUE,TRUE,Global
Vegan lentil burger with sweet potato fries,551,14.3,34.8,14,Lunch,TRUE,TRUE,Global
Vegan chili with whole wheat bread,432,41,37,8,Lunch,TRUE,TRUE,Global
Chicken breast salad with whole-wheat bread,330,27,275,10,Lunch,FALSE,FALSE,Global
Lentil and veggie stir-fry with brown rice,305,8.7,23,10,Lunch,TRUE,TRUE,Global
Turkey and veggie wrap with whole-wheat tortilla,590,31,69,11,Lunch,FALSE,TRUE,Global
Vegetarian chili with whole grain bread,270,14,57,8,Lunch,FALSE,TRUE,Global
Veggie stir-fry,171,36,46,9,Lunch,FALSE,TRUE,Global
Lentil soup with bread,115,21,75,8,Lunch,TRUE,TRUE,Global
Grilled chicken salad,308,34,32,12,Lunch,FALSE,FALSE,Global
Turkey sandwich,820,42,142,11,Lunch,FALSE,FALSE,Global
Avocado and chickpea salad,483,3.6,40,9,Lunch,TRUE,TRUE,Global
Salmon with roasted vegetables,2020,60,250,60,Dinner,FALSE,FALSE,Global
Vegetable stir-fry with brown rice,10,5,31,27,Dinner,TRUE,TRUE,Global
Lentil and vegetable curry,326,55,150,15,Dinner,TRUE,TRUE,Global
Turkey chili with brown rice,278,20,163,27,Dinner,FALSE,FALSE,Global
